Galdera,E1,E2,E3,E4
Zein egunetan sortu zen Oibarreko konpartsa?,Abuztuak 15.,Ekainak 15.,Ekainak 16.,Ez dago.
Zenbat konpartsa daude?,41,56,108,3
Nola deitzen dira agoitzeko konpartsako bigarren bikotea?,Karlos Noblea eta Magdalena Printzesa,Xabiertxo eta Maitane,Barron eta iker,Antso VII eta Juana eroa
Zer dira Arreko konpartsaren bikotea?,Zaldi bat eta margolari bat,Abokatu bat eta preso bat,Errege eta erregina bat,Ez da Arreko konpartsa existitzen
Zenbat erraldoi daukza Altsasuak?,6,2,12,Ez dauzka bat ere
Zein urtetan aurkeztu ziren Artaxoako erraldoiak?,1995.urtean,1990.urtean,2013.urtean,1943.urtean
Zein urtetan sortu ziren Berriozarreko erraldoiak?,1984,1987,1995,2012
Zein urtetan sortu ziren Berako erraldoiak?,2010,1998,1995,1999
Noiz sortu zen Lekunberriko erraldoiak?,Ez dira existitzen,1998,2012,2009
Zein konpartsa da zaharrago?,Agoitz,Bera,Biak urte berekoak dira,Ezin da jakin
Zein urtetan sortu ziren Ablitasko erraldoiak?,2005,1999,2010,Ablitasen ez daude erraldoirik
Nondik lortu zuen Lakuntzak bere erraldoiak?,"Josu Iragik sortu egin zituen, herritarren laguntzarekin",Ez daukate erraldoirik,Herritarrek sortu zituzten,Aragoitik atera zituzten
Nongoak dira Lesakako erraldoiak?,Kataluñakoak,Madrilgoak,Bizkaiakoak,Extremadurakoak
Nola deitzen dira Lodosako erraldoiak?,Pimentonero eta Isolina,Lodosa eta navarra,Ez daukate erraldoirik,Maite eta Iñaki
Nola deitzen dira Badostaingo erraldoiak?,Badostainen ez daude erraldoirik,Egues eta sarriguren,Javier eta Saioa,Ez daukate izenik
Zein enpresa sortu zuen Irunberriko erraldoiak?,Jugueteria Rechacha,la golosina,Toys rus,Eroski
Zenbat erraldoi daude Azkoienen?,4,3,2,0
Zenbat erraldoi daude Tafallan?,6,4,2,0
Zein mitologiakoak dira Txantreako erraldoiak,Euskal mitologiakoak,Erromatar mitologiakoak,Greziar mitologiakoak,Ez dira mitologiatik aterata
"Uharteko erraldoiak, Uharte Arakilgo erraldoiak baino zaharragoak dira?",Bai,Ez,Urte berdinekoak dira,Uharten ez dago konpartsarik
Zenbat erraldoi daude Antsoainen?,4,6,2,0
Nor igorri zuen 1860an gutun bat Iruñeko udalari erraldoi bikote bat sortzeko asmoarekin?,Tadeo Amorena,Josu Iragi,Karlos Noblea,Viktor Kassai
Nori bururatu zitzaion Buztintxuriko konpartsa sortzea?,Gaiteros Haizeberri Dultzaineroak taldeari,Iruñeko udalari,Nafarroako gobernuari,Tadeo Amorenari
Noiz sortu ziren Noaingo erraldoiak?,1982,1988,2008,2015
Zenbat erraldoi daude Milagrosen?,4,2,6,3
Orain dela zenbat urte sortu zen Martzillako konpartsa?,30,20,10,70
Nori dago dedikatuta Orkoieneko erraldoiak?,Mikel eta Ageda deunei,Iker eta Amaia deunei,Joseba Asironi,Nikolas eta Franztisko deunei
Nori mandatu zioten Valtierrako erraldoiak egitea?,Aitor Calleja,Tadeo Amorena,Karlos Noblea,Asier Markotegi
Zein urtetan sortu ziren Etxalarko erraldoiak?,2004,1988,1999,2015
Nor  zuzendu zuen Miranda de Argako erraldoiak?,Rafa Miranda,Aitor Calleja,Tadeo Amorena,Karlos Noblea
Zein herritan enkargatzen dira Basaizea Elkartea erraldoietaz?,Baigorri,Lekunberri,Buztintxuri,Mendillorri
Zein alkate onetsi zuen Agoitzen erraldoiak jartzea?,Miguel Ángel León,Rafa Miranda,Aitor Calleja,tadeo amorena
Zergatik Artzaina eta mahats-biltzailearen irudiak aukeratu ziren erraldoi bezala?,Argibide hauek oso arruntak omen zirelako Berriozarren,Ausaz aukeratu ziren,Alkateak aukeratu zituen,Ez da inoiz jakin
Nork sortu zituen Barañaingo erraldoiak?,Mari Ganuza,Rafa Miranda,Aitor Calleja,tadeo amorena
Zenbat erraldoi daude Lekunberrin?,0,2,4,6
Nor irudikatzen dute Buñueleko erraldoiak?,Alfontso I.a (Borrokalaria) eta bere emazte Urraca ,Mikel eta Ageda deunei,Nikolas eta Franztisko deunei,Ez dute inor irudikatzen
Zer berezitasun daukate Cascanteko erraldoiak?,Txikiak dira (2.80m),"Handiak dira(5,2m)",Nafarroako zarrenak dira,Berrienak dira
Zein urtetan sortu ziren Cintruenigoko lehenengo erraldoi bikotea?,1944,1998,1983,1993
Nork sortu zituen Cintruenigoko erraldoien soinekoak?,Primitiva Alvero,Marta Iglesias,Mercedes Milá,Saioa Ormazabal
Zer dira Vitorio eta Vicenta erraldoiak?,2 oliba-biltzaile,Errege-erregin,2 nekazari,Marokotarrak
Zertarako erabili zituzten Cortesko udalak erraldoiak?,Makildantza ezagutarazteko, Jendea denborapasa bat izateko,Udalak ez zuten ezer egin erraldoiekin,Cortesen ez daude erraldoirik
Noiz sortu zen Arreko konpartsa?,2010,1998,2003,1976
Zein enpresak sortu zituen Lesakako erraldoiak?,El Ingenio,Jugueteria Rechacha,La golosina,Aytekin
Zein egunetan aurkeztu ziren Mendillorriko erraldoiak?,Olentzero datorrenean,Donibane jaian,Mendillorriko pestetan,Urteberri egunean
Zein elkartetan landu egin ziren Otsagabiako erraldoiak?,Gartxot elkartean,Elkar elkartean,Elhuyar elkartean,Unicef elkartean
Zein urtetan sortu zen Perrincheko erraldoiak?,1943,Ez daude erraldoirik,1998,2004
Zein urtetan sortu ziren Arizkurengo erraldoiak?,Ez daude erraldoirik,1992,1983,1988
Zer errepresentatzen du Taraskak?,Gaiztakeria,Ongizatea,Bizia,Inteligentzia
Zein erlijiotako erraldoiak etorri ziren 2011ko ekainaren 18an Perrinchera?,Kristauak,Budistak,Juduak,Islam
Zer da Orkoieneko Mikel erraldoia?,Sokagilea da,Pailazoa da,Erregea da,Nekazaria da
